FirstName	LastName	Country	City	Email	HomePhone	validation_email	phone_validation
Абдул	Абигасанов	Россия	Махачкала	est@email.ru	на хате	good	-
Петро	Порошенко	Украина	Херсон		59412		-
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк	test@email.ru	украли=)	good	-
Людмила	Сбоева (Панасюк)	Россия	Волжск				
Абдул	Абигасанов	Россия	Махачкала				
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк	est@email.ru		good	
Петро	Порошенко	Украина	Херсон				
Людмила	Сбоева (Панасюк)		Волжск	их несколько		-	
							
Абдул	Абигасанов	Россия	Махачкала				
Петро	Порошенко	Украина	Херсонская область, Херсон				
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк	@email		-	
Абдул	Абигасанов	Россия	Махачкала	@email		-	
Людмила	Сбоева (Панасюк)	Россия	Волжск	@email		-	
Петро	Порошенко	Украина	Херсонская область, Херсон	@email		-	
Абдул	Абигасанов	Россия	Махачкала	@email		-	
Людмила	Сбоева (Панасюк)		Волжск	@email		-	
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск	my@．．leadingfwdot.com		-	
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк	my@..twodots.com		-	
Людмила	Сбоева (Панасюк)	Россия	Волжск	my@twodots..com		-	
Петро	Порошенко	Украина	Херсонская область, Херсон	my@baddash.-.com		-	
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк	my@baddash.-a.com		-	
Абдул	Абигасанов	Россия	Махачкала	my@baddash.b-.com		-	
Петро	Порошенко	Украина	Херсонская область, Херсон	.leadingdot@domain.com		-	
Аделина	Садыкова	Россия	Омск	..twodots@domain.com		-	
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск	twodots..here@domain.com		-	
Абдул	Абигасанов	Россия	Махачкала	me@⒈wouldbeinvalid.com		good	
Петро	Порошенко	Украина	Херсонская область, Херсон	Abc@example.com		good	
Людмила	Сбоева (Панасюк)	Россия	Марий Эл, Волжский район, Волжск	Abc.123@example.com		good	
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск	user+mailbox/department=shipping@example.com		good	
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк				
Аделина	Садыкова	Россия	Омск				
Абдул	Абигасанов		Махачкала		в кармане		-
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Ириска	Киска	Россия	Кемеровская область, Новокузнецкий район, Новокузнецк				
Аделина	Садыкова	Россия	Омск		апро		-
Петро	Порошенко	Украина	Херсонская область, Херсон				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск	test@email.ru		good	
Абдул	Абигасанов		Махачкала				
Петро	Порошенко	Украина	Херсонская область, Херсон				
Аделина	Садыкова	Россия	Омск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Маргарита	Тимофеева	Россия	Электросталь				
Петро	Порошенко	Украина	Херсонская область, Херсон				
Аделина	Садыкова	Россия	Омская область, Омск	test@email.ru		good	
Людмила	Сбоева (Панасюк)	Россия	Марий Эл, Волжский район, Волжск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Маргарита	Тимофеева	Россия	Электросталь				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Петро	Порошенко	Украина	Херсонская область, Херсон	qwerty@gmail.com		good	
Людмила	Сбоева (Панасюк)	Россия	Марий Эл, Волжский район, Волжск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала	qwerty@gmail.com		good	
Аделина	Садыкова	Россия	Омская область, Омск				
Петро	Порошенко	Украина	Херсонская область, Херсон	qwerty@gmail.com		good	
